,train_r2,test_r2
linear,6.253543677414708e-05,-0.00025416750436813018
poly,0.02779767460268423,-0.0032493505905124564
rbf,0.016678973901781524,0.0092706418423512682
sigmoid,-0.00029027079297727632,-0.00063911616025613682
